MEMBER,,TYPE,TEXT,規格書
ARD001P,已下載,CLP,休假日期維護,Y
ARE001PB,已下載,CLP,發票維護作業（營業）                           OK,Y
ARE001PF,已下載,CLP,發票維護作業（財會）                           OK,Y
ARE002P,已下載,CLP,發票輸入作業（三角貿易）,Y
ARE002PF,已下載,CLP,關帳後調整單作廢 ( 財會部 ),Y
ARE003P,已下載,CLP,請款單維護作業,Y
ARE006P,已下載,CLP,折讓退回維護作業 2018AR00030 1071127 S00WCJ,Y
ARE006P1,已下載,CLP,折讓退回維護─折讓單還原回寫 P ARDSDT & INETRN,Y
ARE007P,已下載,CLP,折讓註銷維護作業 2018AR00042 1071226 S00WCJ,Y
ARE008P,已下載,CLP,帳款更正作業（磅差） 2019AR00079 1090114 S00WCJ,Y
ARE008PB,已下載,CLP,帳款更正作業（磅差） 2019AR00079 1090115 S00WCJ,Y
ARE015P,已下載,CLP,票據兌現後退票處理作業,Y
ARE016P,已下載,CLP,票據資料挑選設定,Y
ARE026P,已下載,CLP,業務員基本資料輸入與查詢  1131028 2024AR00038,Y
ARE037P,已下載,CLP,新版營業繳款輸入程式,Y
ARE039PXXX,已下載,CLP,新版訂單管制維護作業 2023AR00049 1121114 S00WCJ,Y
ARE040P,已下載,CLP,發票指定開立作業  1131129 S00WCJ,Y
ARE043P,已下載,CLP,客戶暫收款編修程式 ( 營業統計檔 ),Y
ARE044P,已下載,CLP,專案退稅明細輸入,Y
ARE045P,已下載,CLP,預收貨款增減明細輸入                           OK,Y
ARE046P,已下載,CLP,承購客戶資料維護作業,Y
ARE047P,已下載,CLP,承購銀行基本資料登錄  2024AR00038 1131028 S00WCJ,Y
ARE049P,已下載,CLP,新版承購客戶沖銷作業,Y
ARE049PF,已下載,CLP,新版承購客戶沖銷作業（修正程式 ),Y
ARE050P,已下載,CLP,進倉履約折讓自動處理作業挑發票  1040703 S00WCJ,Y
ARE050PA,已下載,CLP,進倉履約折讓自動處理 - 先前處理原程式,Y
ARE050PC,已下載,CLP,進倉履約折讓自動處理 - 列印清單原程式 1090602,Y
ARE050P1,已下載,CLP,進倉履約折讓自動處理 - 先前處理挑發票  2013AR787,Y
ARE050P2,已下載,CLP,進倉履約折讓自動處理作業 - 開立處理 1131129,Y
ARE050P3,已下載,CLP,進倉履約折讓自動處理作業 - 列印清單 1131129,Y
ARE050P4,已下載,CLP,進倉履約折讓自動處理作業 - 重新列印  1101103,Y
ARE050P5,已下載,CLP,進倉履約折讓自動處理作業 - 開立處理 1090602,Y
ARE051P,已下載,CLP,發票異常處理 ( 繳款資料移轉 ),Y
ARE052P,已下載,CLP,應收帳款承購發票結案,Y
ARE053P,已下載,CLP,應收帳款承購人工票據兌現,Y
ARE054P,已下載,CLP,營業退款輸入作業,Y
ARE054PB,已下載,CLP,營業退款查詢作業 (FOR 業務查詢 ),Y
ARE055P,已下載,CLP,營業退款過入財會處理作業  2019AR00066 1080916,Y
ARE055P1,已下載,CLP,營業退款過入財會處理作業,Y
ARE056P,已下載,CLP,營業發票作廢申請作業,Y
ARE056P1,已下載,CLP,營業發票作廢申請作業－列印  2014AR897 1040105,Y
ARE093P,已下載,CLP,應收帳款承購客戶請款單開立,Y
ARE094P,已下載,CLP,應收票據代開傳票後更正作業,Y
ARE094PA,已下載,CLP,應收票據代開傳票後更正作業 - FOR 營業 ( 測試 ),Y
ARE095P,已下載,CLP,營業外銷報關資料維護 98/04/01 S00LCL 2008HS135,Y
ARE096P,已下載,CLP,發票暫不開立維護作業,Y
ARE097P,已下載,CLP,新桃工程領用成本分攤維護作業   僅桃園使用,Y
ARE098P,已下載,CLP,區間發票開立試算表  1080911 S00WCJ,Y
ARE098P1,已下載,CLP,區間發票開立試算維護  2019AR00077 1081120 S00WCJ,Y
ARE100P,已下載,CLP,獎勵金客戶設定維護 2012AR641 1010215 S00WCJ,Y
ARE101P,已下載,CLP,獎勵金產品別設定維護 2012AR641 1010215 S00WCJ,Y
ARE102P,已下載,CLP,獎勵金單價設定維護 2012AR641 1010215 S00WCJ,Y
ARE103P,已下載,CLP,獎勵金價格補助鋼種設定維護作業 2012AR641 1010216,Y
ARE105P1,已下載,CLP,發票號碼使用檢核副程式 2023AR00006 1120202 S00WCJ,Y
ARE107P1,已下載,CLP,電子押匯確認上傳處理及報表產生 1131129 S00WCJ,Y
ARE111P,已下載,CLP,更換請款單業務員作業 1121026 S00WCJ,Y
ARI044P,已下載,CLP,以發票號碼尋找單據號碼,Y
ARI044P98,已下載,CLP,以發票號碼尋找單據號碼查 98 年資料 1010911,Y
ARI049P,已下載,CLP,客戶訂單暫收款查詢  ( 財會 ),Y
ARMNU00,已下載,CLP,應收帳款－營業部主ＭＥＮＵ,Y
ARMNU01,已下載,LP,應收帳款－營業部發票作業,Y
ARMNU02,已下載,CLP,應收帳款－營業部請款作業,Y
ARMNU03,已下載,CLP,應收帳款－營業部調整折讓作業,Y
ARMNU04,已下載,CLP,應收帳款－營業部預收貨款作業,Y
ARMNU05,已下載,CLP,應收帳款－營業部管理報表作業,Y
ARMNU06,已下載,CLP,應收帳款－營業部彙總查詢作業,Y
ARMNU10,已下載,CLP,應收帳款－財會部主ＭＥＮＵ,Y
ARMNU11,已下載,CLP,應收帳款－財會部基本資料建檔,Y
ARMNU12,已下載,CLP,應收帳款－財會部繳款作業,Y
ARMNU13,已下載,CLP,應收帳款－財會部傳票代開作業,Y
ARMNU14,已下載,CLP,應收帳款－財會部票據管理作業,Y
ARMNU15,已下載,CLP,應收帳款－財會部管理報表作業,Y
ARMNU16,已下載,CLP,應收帳款－財會部彙總查詢作業,Y
