MEMBER,,TYPE,TEXT,規格書
ARDSDTCVT@,已下載,RPG1050921,ARDSDT 折讓單漏分攤之資料補入 1050901 S00WCJ,Y
ARDSDTCVTR,已下載,RPG,ARDSDT 類別 D ，補寫磅單項次 1030604),Y
ARDSDTCVT1,已下載,RPG,ARDSDT 折讓單漏分攤之資料補入 1050921 S00WCJ,Y
ARDSDTCVT2,已下載,RPG,ARDSDT 折讓單鋼筋分攤改抓 SRVOUR 1051022 S00WCJ,Y
ARE001R,已下載,RPG,發票輸入作業 ( 一月一軌 )  年月六碼 2023AR00027,Y
ARE001RD,已下載,RPG,發票輸入作業 ( 一月一軌 )   允許已承購發票做廢,Y
ARE002R,已下載,RPG,調整維護作業 2024AR00023 1130711 S00WCJ,Y
ARE002RF,已下載,RPG,關帳後調整單作廢 ( 財會 )  2015AR953 1040918,Y
ARE002RFEN,已下載,RPG,調整維護作業,Y
ARE003R,已下載,RPG,請款維護作業 2023AR00042 1120922 S00WCJ,Y
ARE003RH,已下載,RPG,請款維護作業（型鋼依客戶日期） 2023AR00058,Y
ARE004R,已下載,RPG,繳款輸入作業－營業（依請款單） 2012AR682 1010918,Y
ARE005R,已下載,RPG,繳款輸入作業－營業（依發票）新版勿殺 1130508,Y
ARE006R,已下載,RPG,折讓退回維護作業 CODE = 4 BY PASS ERR0R 50,Y
ARE006R1,已下載,RPG,折讓退回維護取消確認回寫台北 ARDSDT & INEMST,Y
ARE007R,已下載,RPG,折讓註銷作業  1100906 S00WCJ,Y
ARE008R,已下載,RPG,帳款更正作業（磅差） 1120727 S00WCJ,Y
ARE008RB,已下載,RPG,帳款更正磅單調整副程式 WIN 1090702 S00WCJ,Y
ARE008RS,已下載,RPG,帳款更正永不開立發票密碼檢核,Y
ARE009R,已下載,RPG,繳款輸入作業－非營業 2020AR00026 1090611 S00WCJ,Y
ARE010R,已下載,RPG,隔月換發票處理作業  2010AR517 990823 S00WCJ,Y
ARE011R,已下載,RPG,託收處理作業   2012AR682 1010918  S00WCJ,Y
ARE012R,已下載,RPG,兌現處理作業  2015AR917 1040306 S00WCJ,Y
ARE012RTS,已下載,RPG,兌現處理作業  2159 連動修改測試,Y
ARE013R,已下載,RPG,票據退回維護作業   2012AR682 1010918 S00WCJ,Y
ARE013R1,已下載,RPG,票據退回維護作業－其他科目   2012AR682 1010918,Y
